 ,Slice,Name,Area_raw,Aspect Ratio_Maj_Min,Mobility
543,542,Demo_video (2),5869,3.563,0
544,543,Demo_video (2),5869,3.563,136
545,544,Demo_video (2),5879,3.498,108
546,545,Demo_video (2),5902,3.500,0
547,546,Demo_video (2),5902,3.500,188
548,547,Demo_video (2),5924,3.451,112
549,548,Demo_video (2),5956,3.421,87
550,549,Demo_video (2),5941,3.356,1
551,550,Demo_video (2),5934,3.356,122
552,551,Demo_video (2),5977,3.320,101
553,552,Demo_video (2),5982,3.284,111
554,553,Demo_video (2),6002,3.250,1
555,554,Demo_video (2),5996,3.252,202
556,555,Demo_video (2),6053,3.161,168
557,556,Demo_video (2),6044,3.067,79
558,557,Demo_video (2),6036,3.037,167
559,558,Demo_video (2),6031,3.011,149
560,559,Demo_video (2),6008,2.979,79
561,560,Demo_video (2),6004,2.958,0
562,561,Demo_video (2),6004,2.958,119
563,562,Demo_video (2),6001,2.921,89
564,563,Demo_video (2),6013,2.900,81
565,564,Demo_video (2),5987,2.911,81
566,565,Demo_video (2),6003,2.885,101
567,566,Demo_video (2),6040,2.892,0
568,567,Demo_video (2),6040,2.892,63
569,568,Demo_video (2),6038,2.883,0
570,569,Demo_video (2),6038,2.883,98
571,570,Demo_video (2),5978,2.878,155
572,571,Demo_video (2),5991,2.870,35
573,572,Demo_video (2),5952,2.887,0
574,573,Demo_video (2),5952,2.887,116
575,574,Demo_video (2),5868,2.931,81
576,575,Demo_video (2),5814,2.918,59
577,576,Demo_video (2),5718,2.908,96
578,577,Demo_video (2),5659,2.877,78
579,578,Demo_video (2),5608,2.854,1
580,579,Demo_video (2),5605,2.856,107
581,580,Demo_video (2),5558,2.854,78
582,581,Demo_video (2),5536,2.854,135
583,582,Demo_video (2),5577,2.845,0
584,583,Demo_video (2),5572,2.848,114
585,584,Demo_video (2),5587,2.849,96
586,585,Demo_video (2),5566,2.842,152
587,586,Demo_video (2),5546,2.819,165
588,587,Demo_video (2),5531,2.804,95
589,588,Demo_video (2),5527,2.807,145
590,589,Demo_video (2),5574,2.768,220
591,590,Demo_video (2),5664,2.734,238
592,591,Demo_video (2),5701,2.721,8
593,592,Demo_video (2),5699,2.719,141
594,593,Demo_video (2),5728,2.710,155
595,594,Demo_video (2),5759,2.681,117
596,595,Demo_video (2),5750,2.618,14
597,596,Demo_video (2),5754,2.616,276
598,597,Demo_video (2),5793,2.458,231
599,598,Demo_video (2),5819,2.328,127
600,599,Demo_video (2),5838,2.277,120
601,600,Demo_video (2),5838,2.256,0
